"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/227dada3f3929bddc1256fa2005a48e5?OpenDocument","Zuppana, Giuppana, Giupana"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/245ba854c5579696c1256fa300600a82?OpenDocument","Mocoscizza, Moccosizza"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/25ad058a3a4b1b9bc1256f9a0047b5f2?OpenDocument","Canali, Canale (Avigliano)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2621d83bbc198b48c125708900344739?OpenDocument","Evian-les-Bains"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/266024393822e06dc1256f9a0054d0e1?OpenDocument","Collis Scipionis, Collescipoli (Terni)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/26d63c82b33c2148c1256fa3005fb170?OpenDocument","Liano (Castel San Pietro Terme)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/270e689a53b35551c1256fac00401713?OpenDocument","Sablonum, Sabbion (Cologna Veneta)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/27b846bfa93a0766c1256fac00402a98?OpenDocument","San Pietro a Marcigliano (Capannori), Marcilliano"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28315147cd390f4cc1256fac00402655?OpenDocument","San Giovanni d'Asso"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28bc40b3f4998802c1256fac00401bb5?OpenDocument","Sallanches"
