document_link,Nomi_statuti,NOME ,PRO_COM,DROP
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/171cf05601b5d8f0c1256fa300601976?OpenDocument,"Monêtier les Bains, Le Monêtier les Bains",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/17a29057333191ebc1256fa2005a2ff0?OpenDocument,Ganzanigo (Medicina),Medicina,37037,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/17b746f1dba6f8c2c1256fa300601a7e?OpenDocument,Mongiovino (Panicale),Panicale,54037,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/17d030a7627d2ba1c1256fa40048e88e?OpenDocument,Parlascio e Ceppato (Casciana Terme),Casciana Terme Lari,050040,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/187383c89f42d61ac1256f9a0056e712?OpenDocument,"Custoza, Costozza (Longare), Castelcovolo",Longare,024051,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19564a4cdf16e95cc1256f9a00405a87?OpenDocument,"Arcetum, Arceto (Scandiano)",Scandiano,35040,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19c00781817b30aec1256fa2005a264f?OpenDocument,"Friburgo, Fribourg",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19fe85c701cc6185c1256fa2005a5323?OpenDocument,"Intrum, Intra (Verbania)",Verbania,103072,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1b4dd12c28798032c1256fac0040220c?OpenDocument,Sant'Agostino,Terre del Reno,38028,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1b8d2877cf9d1e66c1256f9a0042350b?OpenDocument,"Billio, Bilio (Bagnone in Lunigiana), Biglio",Bagnone,045002,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1bfaf39d9070e47dc1256fa400491ea5?OpenDocument,Popoli,Popoli Terme,68033,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1cfd5f7d530f15f6c1256f9a0049223d?OpenDocument,Cicolano,#VALUE!,,uncertain
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d0f52a0f45e8cdbc1256fa3005fe3af?OpenDocument,Mendrisio,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d1c6397f9765195c1256fa40048cd09?OpenDocument,"Nozzano (Lucca), Nossanum",Lucca,46017,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d87bde4bcfb14d6c1256f9a0056f80e?OpenDocument,Dignano d'Istria,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d87c6ecf83cecdec1256fa400490e48?OpenDocument,Pinguente,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d8ba2c6fad86ec8c1256f9a0049196c?OpenDocument,Chianti,#VALUE!,,uncertain
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d917651ba2ad8a6c1256f40003d13d0?OpenDocument,Trasimeno (Lago),Lago,,uncertain
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d9d3c10e6979fb5c1256fa400490302?OpenDocument,Pesey,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ddf0c3ba9e6925bc1256fa40048c60f?OpenDocument,"Nicola (Ortonovo), Nichola",Luni,11020,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1e1113ad466ebba9c1256fac003efbce?OpenDocument,"Ruvigno, Ruginio, Rubinun, Rovigno, Revigno",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1e6932b3eeda4b43c1256fa4004920b6?OpenDocument,"Portus Mauritii, Porto Maurizio",Imperia,8031,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ed4e89070945d94c1256f40005bccc5?OpenDocument,Torri in Val di Pesa,San Casciano in Val di Pesa,48038,uncertain
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ff514e1132f6e63c1256f9a0056d667?OpenDocument,Cava dei Tirreni,Cava de' Tirreni,65037,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/20285acd5b2419c4c1256fa2005a4b84?OpenDocument,"Gravosium, Gravosa",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/20b09fc51083ef73c1256f9a0056f8ba?OpenDocument,"Zaton, Saton, Dolli, Doli",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/21578c771be0f7c7c1256fa40048d0e9?OpenDocument,"Orsera, Orsara dell'Istria",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/21db7d9c1937e26dc1256f3b004d2c7c?OpenDocument,"Tuscinianum, Tossignano (Borgo Tossignano)",Borgo Tossignano,37007,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/227dada3f3929bddc1256fa2005a48e5?OpenDocument,"Zuppana, Giuppana, Giupana",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/245ba854c5579696c1256fa300600a82?OpenDocument,"Mocoscizza, Moccosizza",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/25ad058a3a4b1b9bc1256f9a0047b5f2?OpenDocument,"Canali, Canale (Avigliano)",Avigliano,76007,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2621d83bbc198b48c125708900344739?OpenDocument,Evian-les-Bains,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/266024393822e06dc1256f9a0054d0e1?OpenDocument,"Collis Scipionis, Collescipoli (Terni)",Terni,55032,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/26d63c82b33c2148c1256fa3005fb170?OpenDocument,Liano (Castel San Pietro Terme),Castel San Pietro Terme,37020,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/270e689a53b35551c1256fac00401713?OpenDocument,"Sablonum, Sabbion (Cologna Veneta)",Cologna Veneta,23027,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/27b846bfa93a0766c1256fac00402a98?OpenDocument,"San Pietro a Marcigliano (Capannori), Marcilliano",Capannori,46007,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28315147cd390f4cc1256fac00402655?OpenDocument,San Giovanni d'Asso,Montalcino,52037,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28bc40b3f4998802c1256fac00401bb5?OpenDocument,Sallanches,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28fd921ff4ec776dc1256fa2005a2efa?OpenDocument,"Gallignana, Galignana, Galiana",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/29d177fdb691e393c1256fa300602e86?OpenDocument,"Montisi (San Giovanni d'Asso), Mons Isii, Mons Ghisi",Montalcino,052037,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2b4319f297518168c1256f9a0056d72c?OpenDocument,Cazzano (Budrio),Budrio,37008,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2dd94729ef3b433fc1256fa30060291c?OpenDocument,"Montepescali (Grosseto), Mons Pescalis",Grosseto,053011,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2e107dec1234728ac1256fa2005a474f?OpenDocument,Gex,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2f884a2afe192483c1256fa40048c327?OpenDocument,"Narbonne, Narbona, Narbo",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2fabc47d7507ff82c1256fa40048d2d2?OpenDocument,"Ortonovo, Hortinovum",Luni,11020,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30220b0f78cc0402c1256fa40048cd20?OpenDocument,Nyon,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3028a845a91249d3c1256fa3005fe033?OpenDocument,"Massalombardorum, Massalombarda",Massa Lombarda,39013,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30548fbfa0dc5a44c1256f3b004d37e6?OpenDocument,"Tuscia, Patrimonium Beati Petri in Tuscia",#VALUE!,,uncertain
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30afbaac2bc0d4fec1256fac004027cf?OpenDocument,"Sanctus Leoninus in Montibus, San Leolino (Londa)",Londa,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/315cf071b086eeadc1256f3b004d31a7?OpenDocument,Tres,Predaia,22230,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/31f282ff1ad8d395c1256fa20059f94e?OpenDocument,"Falcinellum, Falcinello (Sarzana)",Sarzana,11027,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/32d8afe71204e575c1256f9a0056f543?OpenDocument,"Cusy en Genevois, Cusy, Cusiacum",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/32e29ab9bbef23b6c1256f3b004d2b3a?OpenDocument,Tornano (Mercato Saraceno),Mercato Saraceno,40020,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3334369e9631f457c1256fa300600951?OpenDocument,"Minozzo (Villa Minozzo), Minotium",Villa Minozzo,35045,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/33387f0671981bfdc1256f9a004273cd?OpenDocument,Bonneville,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3393c1bb94b00831c1256f3b004d2bd3?OpenDocument,"Turris, Torre Maina (Maranello), Torre, S. Petrus in Insula",Maranello,36019,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/353872a1d9414526c1256fa2005a543e?OpenDocument,Irola (Villafranca in Lunigiana),Villafranca in Lunigiana,045016,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/35639446d19ca5a7c1256fac00403583?OpenDocument,"Savello (Albano Laziale), Castel Savelli",Albano Laziale,58003,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/35bd86244cefab7cc1256fa400490c95?OpenDocument,"Pieve a Molli (Sovicille), Molli",Sovicille,052034,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36481383b65bfa30c1256f40003d1baa?OpenDocument,"Trevi nell'Umbria, Trebium",Trevi,54054,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/368255287264b8cfc1257a70004d2d2e?OpenDocument,"Chersum, Cherso",#VALUE!,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/369f1a2488ddfe41c1256f40003cfedc?OpenDocument,"Tivenia, Tivegna (Follo)",Follo,011013,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36b9933e6afef1cdc1256fa40048d6de?OpenDocument,Ossola Inferiore,#VALUE!,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3751a556239286adc1256fa30060156c?OpenDocument,Monaco (Principato),Principato,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37ae25377aedc02fc1256fa2005a54d1?OpenDocument,"Valle Siliciana, Valle Siciliana, Valle Mavone, Isula, Isola del Gran Sasso",#VALUE!,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37e5f4b51cac82cfc1256f9a004223b7?OpenDocument,Ballon-en-Bugey,#VALUE!,,Y
