dropdown_value,dropdown_text,document_link
Anagnia,Anagnia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8f60c9db9d685879c1256f9a0040564c?OpenDocument
Ancona,Ancona,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2627b68d27091b61c1256f9a004056ab?OpenDocument
Andorno Micca,Andorno Micca,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/27395c615fc2979bc1256f9a0040581f?OpenDocument
Andrate,Andrate,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28e33e27320679ccc1256f9a0040582c?OpenDocument
Andria,Andria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/23c1d5caabac9cb4c1256f9a0040583a?OpenDocument
Andurnum,Andurnum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/27395c615fc2979bc1256f9a0040581f?OpenDocument
Angarano (Bassano del Grappa),Angarano (Bassano del Grappa),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5dd3587fd3383dabc1256f9a00405849?OpenDocument
Anghiari,Anghiari,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bbdc8512b47e4e3dc1256f9a00405856?OpenDocument
Anglaris,Anglaris,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bbdc8512b47e4e3dc1256f9a00405856?OpenDocument
Annecy,Annecy,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/da426e2c8ccd803ac1256f9a00405866?OpenDocument
Anoalis,Anoalis,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/583ced99cff3cf9cc1256fa40048c81d?OpenDocument
Anticoli di Campagna,Anticoli di Campagna,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f561b6d201ec92f6c1256fa2005a1d42?OpenDocument
Aosta,Aosta,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3c953cf1fe438536c1256f9a00405875?OpenDocument
